"a","b","n","p","outlier","others"
0,2,50,10,0.29,0.05
0,2,50,500,0.23,0.06
0,2,200,200,0.31,0.05
0,2,500,10,0.31,0.04
0,3,50,10,0.71,0.04
0,3,50,500,0.51,0.05
0,3,200,200,0.92,0.04
0,3,500,10,0.85,0.04
0,5,50,10,0.99,0.02
0,5,50,500,0.91,0.03
0,5,200,200,1,0.02
0,5,500,10,1,0.03
2,0,50,10,0.01,0.06
2,0,50,500,0.02,0.06
2,0,200,200,0,0.05
2,0,500,10,0,0.04
2,2,50,10,0.36,0.05
2,2,50,500,0.2,0.06
2,2,200,200,0.34,0.05
2,2,500,10,0.48,0.04
3,0,50,10,0.01,0.06
3,0,50,500,0.02,0.06
3,0,200,200,0,0.05
3,0,500,10,0,0.04
3,3,50,10,0.83,0.04
3,3,50,500,0.48,0.05
3,3,200,200,0.89,0.04
3,3,500,10,0.92,0.04
5,0,50,10,0.03,0.06
5,0,50,500,0.02,0.06
5,0,200,200,0,0.05
5,0,500,10,0,0.04
5,5,50,10,1,0.01
5,5,50,500,0.9,0.03
5,5,200,200,1,0.02
5,5,500,10,1,0.02
